"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"120",1.44,0.15,0.871680519924686,0.670768896482691,555.172670358829,0.653265477471971,0.978884395698527,0.110378335289006,0.753263599309938
"121",1.52,0.15,0.875049106812981,0.685292892989358,559.452364364239,0.647076028222076,0.979741200914076,0.111109338076547,0.767282289334159
"122",1.6,0.15,0.878071035312612,0.698437858643037,563.394335315867,0.640846022909569,0.980496872970785,0.111718510150995,0.779909721222156
"123",1.68,0.15,0.880795281181941,0.710378435756518,567.035212153386,0.63460379789953,0.981167644562793,0.11222793300249,0.791330688811274
"124",1.76,0.15,0.883262237435408,0.721262371014241,570.406700966614,0.628372199189272,0.981766537351831,0.112655152989945,0.801699914816755
"125",1.84,0.15,0.885505475339003,0.731215273017173,573.536348106619,0.622169698693057,0.982304102832837,0.113014227681918,0.811147737357378
"126",1.92,0.15,0.887553098459024,0.740344446375036,576.44817635013,0.616011249371542,0.982788970764656,0.11331650526753,0.819784593989384
"127",2,0.15,0.889428792791776,0.74874199035157,579.163214522145,0.609908948075845,0.983228260092368,0.113571211142254,0.827704578936225
"128",2.08,0.15,0.891152647951583,0.756487312220824,581.699938564475,0.603872555077671,0.983627890339729,0.113785893723662,0.8349882825338
"129",2.16,0.15,0.892741804594817,0.763649174506317,584.074639627628,0.597909905720451,0.983992820122825,0.113966766392084,0.841705071880198
"130",2.24,0.15,0.894210968814809,0.770287369987499,586.30173206628,0.592027239906049,0.984327231678813,0.114118972026664,0.847914933879518
"131",2.32,0.15,0.895572823789699,0.77645409837237,588.39401184339,0.586229468188619,0.984634674947829,0.114246789413857,0.853669973512188
"132",2.4,0.15,0.896838361715338,0.782195103228453,590.36287432154,0.580520388829336,0.984918181119806,0.114353795383842,0.859015638982128
"133",2.48,0.15,0.89801715305,0.787550615018863,592.218498196161,0.574902865972266,0.985180352797662,0.114442993283824,0.863991729016672
"134",2.56,0.15,0.899117566489521,0.79255613705748,593.970001657688,0.56937897727805,0.9854234362052,0.114516915292086,0.868633225590308
